;Frequency;Resistance;Delta F;Delta R;Delta Mass;Time (s);Tag
0;5004803.5;61.928;0.0;0.0;0.0;0.57;5
1;5004841.3;59.368;37.8;-2.56;-0.6678445;45.629;0
2;5004841.3;59.485;37.8;-2.443;-0.6678445;46.708;0
3;5004840.8;59.787;37.3;-2.141;-0.6590106;47.792;0
4;5004840.9;59.709;37.4;-2.219;-0.6607774;48.854;0
5;5004841.6;59.335;38.1;-2.593;-0.6731449;49.94;0
6;5004842.5;59.179;39.0;-2.749;-0.6890459;51.01;0
7;5004842.7;59.179;39.2;-2.749;-0.6925795;52.087;0
8;5004842.4;59.17;38.9;-2.758;-0.6872792;53.163;0
9;5004842.9;59.088;39.4;-2.84;-0.6961131;54.237;0
10;5004843.8;59.007;40.3;-2.921;-0.7120141;55.305;0
11;5004844.7;59.0;41.2;-2.928;-0.7279152;56.384;0
12;5004843.8;58.999;40.3;-2.929;-0.7120141;57.463;0
13;5004843.8;58.992;40.3;-2.936;-0.7120141;58.533;0
14;5004843.3;58.993;39.8;-2.935;-0.7031802;59.607;0
15;5004843.3;58.989;39.8;-2.939;-0.7031802;60.681;0
16;5004843.1;58.985;39.6;-2.943;-0.6996466;61.757;0
17;5004842.9;58.994;39.4;-2.934;-0.6961131;62.819;0
18;5004842.8;58.998;39.3;-2.93;-0.6943463;63.893;0
19;5004842.9;58.999;39.4;-2.929;-0.6961131;64.968;0
20;5004842.8;59.014;39.3;-2.914;-0.6943463;66.049;0
21;5004842.6;59.043;39.1;-2.885;-0.6908127;67.112;0
22;5004842.4;59.04;38.9;-2.888;-0.6872792;68.192;0
23;5004843.0;58.982;39.5;-2.946;-0.6978799;69.267;0
24;5004843.6;58.983;40.1;-2.945;-0.7084806;70.333;0
25;5004842.9;59.017;39.4;-2.911;-0.6961131;71.411;0
26;5004843.1;59.021;39.6;-2.907;-0.6996466;72.479;0
27;5004843.7;58.977;40.2;-2.951;-0.7102473;73.558;0
28;5004843.7;58.962;40.2;-2.966;-0.7102473;74.634;0
29;5004843.9;58.952;40.4;-2.976;-0.7137809;75.704;0
30;5004843.7;58.957;40.2;-2.971;-0.7102473;76.782;0
31;5004843.7;58.949;40.2;-2.979;-0.7102473;77.859;0
