SRS QCM200 Data File
Data Taken on 03.05.2023 at 12:28:38
Tag Definitions
Zero Rel F        = 1
Zero Rel R        = 2
Zero Rel F and R  = 3
User Tag          = 4
Begining of File  = 5

Notes:


Frequency	Resistance	Delta F	Delta R	Delta Mass	Time (s)	Tag
+05.004803500E+6	+06.192800E+1	+00.000000E+0	+00.000000E+0	+00.000000E+0	+05.700000E-1	5
+05.004841300E+6	+05.936800E+1	+03.780000E+1	-02.560000E+0	-06.678445E-1	+04.562900E+1	0
+05.004841300E+6	+05.948500E+1	+03.780000E+1	-02.443000E+0	-06.678445E-1	+04.670800E+1	0
+05.004840800E+6	+05.978700E+1	+03.730000E+1	-02.141000E+0	-06.590106E-1	+04.779200E+1	0
+05.004840900E+6	+05.970900E+1	+03.740000E+1	-02.219000E+0	-06.607774E-1	+04.885400E+1	0
+05.004841600E+6	+05.933500E+1	+03.810000E+1	-02.593000E+0	-06.731449E-1	+04.994000E+1	0
+05.004842500E+6	+05.917900E+1	+03.900000E+1	-02.749000E+0	-06.890459E-1	+05.101000E+1	0
+05.004842700E+6	+05.917900E+1	+03.920000E+1	-02.749000E+0	-06.925795E-1	+05.208700E+1	0
+05.004842400E+6	+05.917000E+1	+03.890000E+1	-02.758000E+0	-06.872792E-1	+05.316300E+1	0
+05.004842900E+6	+05.908800E+1	+03.940000E+1	-02.840000E+0	-06.961131E-1	+05.423700E+1	0
+05.004843800E+6	+05.900700E+1	+04.030000E+1	-02.921000E+0	-07.120141E-1	+05.530500E+1	0
+05.004844700E+6	+05.900000E+1	+04.120000E+1	-02.928000E+0	-07.279152E-1	+05.638400E+1	0
+05.004843800E+6	+05.899900E+1	+04.030000E+1	-02.929000E+0	-07.120141E-1	+05.746300E+1	0
+05.004843800E+6	+05.899200E+1	+04.030000E+1	-02.936000E+0	-07.120141E-1	+05.853300E+1	0
+05.004843300E+6	+05.899300E+1	+03.980000E+1	-02.935000E+0	-07.031802E-1	+05.960700E+1	0
+05.004843300E+6	+05.898900E+1	+03.980000E+1	-02.939000E+0	-07.031802E-1	+06.068100E+1	0
+05.004843100E+6	+05.898500E+1	+03.960000E+1	-02.943000E+0	-06.996466E-1	+06.175700E+1	0
+05.004842900E+6	+05.899400E+1	+03.940000E+1	-02.934000E+0	-06.961131E-1	+06.281900E+1	0
+05.004842800E+6	+05.899800E+1	+03.930000E+1	-02.930000E+0	-06.943463E-1	+06.389300E+1	0
+05.004842900E+6	+05.899900E+1	+03.940000E+1	-02.929000E+0	-06.961131E-1	+06.496800E+1	0
+05.004842800E+6	+05.901400E+1	+03.930000E+1	-02.914000E+0	-06.943463E-1	+06.604900E+1	0
+05.004842600E+6	+05.904300E+1	+03.910000E+1	-02.885000E+0	-06.908127E-1	+06.711200E+1	0
+05.004842400E+6	+05.904000E+1	+03.890000E+1	-02.888000E+0	-06.872792E-1	+06.819200E+1	0
+05.004843000E+6	+05.898200E+1	+03.950000E+1	-02.946000E+0	-06.978799E-1	+06.926700E+1	0
+05.004843600E+6	+05.898300E+1	+04.010000E+1	-02.945000E+0	-07.084806E-1	+07.033300E+1	0
+05.004842900E+6	+05.901700E+1	+03.940000E+1	-02.911000E+0	-06.961131E-1	+07.141100E+1	0
+05.004843100E+6	+05.902100E+1	+03.960000E+1	-02.907000E+0	-06.996466E-1	+07.247900E+1	0
+05.004843700E+6	+05.897700E+1	+04.020000E+1	-02.951000E+0	-07.102473E-1	+07.355800E+1	0
