;Frequency;Resistance;Delta F;Delta R;Delta Mass;Time (s);Tag
0;5004220.2;325.74;0.0;0.0;0.0;0.309;5
1;5004220.7;325.99;0.5;0.25;-0.008833922;19.621;0
2;5004220.6;325.99;0.4;0.25;-0.007067138;20.7;0
3;5004220.5;325.97;0.3;0.23;-0.005300353;21.769;0
4;5004220.7;325.96;0.5;0.22;-0.008833922;22.852;0
5;5004220.8;325.93;0.6;0.19;-0.01060071;23.923;0
6;5004220.9;325.93;0.7;0.19;-0.01236749;24.99;0
7;5004221.1;325.99;0.9;0.25;-0.01590106;26.065;0
8;5004221.1;326.09;0.9;0.35;-0.01590106;27.134;0
9;5004221.1;326.16;0.9;0.42;-0.01590106;28.211;0
10;5004221.2;326.17;1.0;0.43;-0.01766784;29.288;0
11;5004221.1;326.2;0.9;0.46;-0.01590106;30.36;0
12;5004221.2;326.21;1.0;0.47;-0.01766784;31.444;0
13;5004221.2;326.23;1.0;0.49;-0.01766784;32.519;0
14;5004221.3;326.27;1.1;0.53;-0.01943463;33.593;0
15;5004221.3;326.27;1.1;0.53;-0.01943463;34.658;0
16;5004221.4;326.28;1.2;0.54;-0.02120141;35.743;0
17;5004221.4;326.27;1.2;0.53;-0.02120141;36.81;0
18;5004221.4;326.29;1.2;0.55;-0.02120141;37.881;0
19;5004221.4;326.3;1.2;0.56;-0.02120141;38.957;0
20;5004221.4;326.31;1.2;0.57;-0.02120141;40.038;0
21;5004221.4;326.3;1.2;0.56;-0.02120141;41.1;0
22;5004221.4;326.32;1.2;0.58;-0.02120141;42.175;0
23;5004221.6;326.36;1.4;0.62;-0.02473498;43.262;0
24;5004221.8;326.44;1.6;0.7;-0.02826855;44.333;0
25;5004221.6;326.47;1.4;0.73;-0.02473498;45.414;0
26;5004221.3;326.41;1.1;0.67;-0.01943463;46.477;0
27;5004221.3;326.35;1.1;0.61;-0.01943463;47.554;0
28;5004221.5;326.35;1.3;0.61;-0.0229682;48.627;0
29;5004221.6;326.4;1.4;0.66;-0.02473498;49.699;0
30;5004221.7;326.48;1.5;0.74;-0.02650177;50.792;0
31;5004221.9;326.56;1.7;0.82;-0.03003534;51.866;0
32;5004221.9;326.62;1.7;0.88;-0.03003534;52.933;0
33;5004221.9;326.67;1.7;0.93;-0.03003534;54.016;0
34;5004221.8;326.7;1.6;0.96;-0.02826855;55.091;0
35;5004221.7;326.73;1.5;0.99;-0.02650177;56.167;0
36;5004221.7;326.72;1.5;0.98;-0.02650177;57.233;0
37;5004221.6;326.71;1.4;0.97;-0.02473498;58.31;0
38;5004221.7;326.7;1.5;0.96;-0.02650177;59.39;0
39;5004222.0;326.71;1.8;0.97;-0.03180212;60.464;0
40;5004222.0;326.92;1.8;1.18;-0.03180212;61.537;0
41;5004221.1;326.94;0.9;1.2;-0.01590106;62.616;0
42;5004221.1;326.65;0.9;0.91;-0.01590106;63.692;0
43;5004221.5;326.68;1.3;0.94;-0.0229682;64.77;0
44;5004221.4;326.75;1.2;1.01;-0.02120141;65.846;0
45;5004221.3;326.72;1.1;0.98;-0.01943463;66.921;0
46;5004221.3;326.68;1.1;0.94;-0.01943463;67.986;0
47;5004221.3;326.66;1.1;0.92;-0.01943463;69.064;0
48;5004221.5;326.68;1.3;0.94;-0.0229682;70.134;0
49;5004221.5;326.72;1.3;0.98;-0.0229682;71.211;0
50;5004221.6;326.73;1.4;0.99;-0.02473498;72.286;0
51;5004221.6;326.75;1.4;1.01;-0.02473498;73.365;0
52;5004221.7;326.78;1.5;1.04;-0.02650177;74.435;0
53;5004221.8;326.82;1.6;1.08;-0.02826855;75.508;0
54;5004221.8;326.84;1.6;1.1;-0.02826855;76.579;0
55;5004221.8;326.86;1.6;1.12;-0.02826855;77.663;0
56;5004221.9;326.87;1.7;1.13;-0.03003534;78.736;0
57;5004221.9;326.89;1.7;1.15;-0.03003534;79.811;0
58;5004221.8;326.88;1.6;1.14;-0.02826855;80.883;0
59;5004221.8;326.9;1.6;1.16;-0.02826855;81.961;0
60;5004221.8;326.9;1.6;1.16;-0.02826855;83.03;0
61;5004221.6;326.85;1.4;1.11;-0.02473498;84.116;0
62;5004221.6;326.8;1.4;1.06;-0.02473498;85.188;0
63;5004221.6;326.79;1.4;1.05;-0.02473498;86.254;0
64;5004221.7;326.77;1.5;1.03;-0.02650177;87.332;0
