SRS QCM200 Data File
Data Taken on 03.05.2023 at 10:54:21
Tag Definitions
Zero Rel F        = 1
Zero Rel R        = 2
Zero Rel F and R  = 3
User Tag          = 4
Begining of File  = 5

Notes:


Frequency	Resistance	Delta F	Delta R	Delta Mass	Time (s)	Tag
+05.004220200E+6	+03.257400E+2	+00.000000E+0	+00.000000E+0	+00.000000E+0	+03.090000E-1	5
+05.004220700E+6	+03.259900E+2	+05.000000E-1	+02.500000E-1	-08.833922E-3	+01.962100E+1	0
+05.004220600E+6	+03.259900E+2	+04.000000E-1	+02.500000E-1	-07.067138E-3	+02.070000E+1	0
+05.004220500E+6	+03.259700E+2	+03.000000E-1	+02.300000E-1	-05.300353E-3	+02.176900E+1	0
+05.004220700E+6	+03.259600E+2	+05.000000E-1	+02.200000E-1	-08.833922E-3	+02.285200E+1	0
+05.004220800E+6	+03.259300E+2	+06.000000E-1	+01.900000E-1	-01.060071E-2	+02.392300E+1	0
+05.004220900E+6	+03.259300E+2	+07.000000E-1	+01.900000E-1	-01.236749E-2	+02.499000E+1	0
+05.004221100E+6	+03.259900E+2	+09.000000E-1	+02.500000E-1	-01.590106E-2	+02.606500E+1	0
+05.004221100E+6	+03.260900E+2	+09.000000E-1	+03.500000E-1	-01.590106E-2	+02.713400E+1	0
+05.004221100E+6	+03.261600E+2	+09.000000E-1	+04.200000E-1	-01.590106E-2	+02.821100E+1	0
+05.004221200E+6	+03.261700E+2	+01.000000E+0	+04.300000E-1	-01.766784E-2	+02.928800E+1	0
+05.004221100E+6	+03.262000E+2	+09.000000E-1	+04.600000E-1	-01.590106E-2	+03.036000E+1	0
+05.004221200E+6	+03.262100E+2	+01.000000E+0	+04.700000E-1	-01.766784E-2	+03.144400E+1	0
+05.004221200E+6	+03.262300E+2	+01.000000E+0	+04.900000E-1	-01.766784E-2	+03.251900E+1	0
+05.004221300E+6	+03.262700E+2	+01.100000E+0	+05.300000E-1	-01.943463E-2	+03.359300E+1	0
+05.004221300E+6	+03.262700E+2	+01.100000E+0	+05.300000E-1	-01.943463E-2	+03.465800E+1	0
+05.004221400E+6	+03.262800E+2	+01.200000E+0	+05.400000E-1	-02.120141E-2	+03.574300E+1	0
