,E(V),i(A)
0,-0.2000427,-7.577515e-07
1,-0.1976013,-6.967163e-07
2,-0.1951599,-6.491089e-07
3,-0.1927185,-6.219482e-07
4,-0.1902771,-5.825806e-07
5,-0.1878357,-5.682373e-07
6,-0.1853943,-5.282592e-07
7,-0.1829529,-5.163574e-07
8,-0.1805115,-4.910278e-07
9,-0.1780701,-4.705811e-07
10,-0.1756287,-4.495239e-07
11,-0.1731873,-4.248047e-07
12,-0.1707458,-4.116821e-07
13,-0.1683044,-3.826904e-07
14,-0.165863,-3.824768e-07
15,-0.1634216,-3.533935e-07
16,-0.1609802,-3.492432e-07
17,-0.1585388,-3.280335e-07
18,-0.1560974,-3.190308e-07
19,-0.153656,-3.053894e-07
20,-0.1512146,-2.908325e-07
21,-0.1487732,-2.872314e-07
22,-0.1463318,-2.63916e-07
23,-0.1438904,-2.681579e-07
24,-0.141449,-2.423706e-07
25,-0.1390076,-2.438965e-07
26,-0.1365662,-2.284851e-07
27,-0.1341248,-2.164612e-07
28,-0.1316833,-2.136231e-07
29,-0.1292419,-1.935425e-07
30,-0.1268005,-2.015381e-07
31,-0.1243591,-1.756592e-07
32,-0.1219177,-1.841126e-07
33,-0.1194763,-1.660156e-07
34,-0.1170349,-1.647339e-07
35,-0.1145935,-1.514282e-07
36,-0.1121521,-1.451416e-07
37,-0.1097107,-1.454773e-07
38,-0.1072693,-1.277466e-07
39,-0.1048279,-1.376038e-07
40,-0.1023865,-1.204529e-07
41,-0.09994507,-1.290283e-07
42,-0.09750366,-1.060181e-07
43,-0.09506226,-1.043701e-07
44,-0.09262085,-9.890747e-08
45,-0.09017944,-9.158325e-08
46,-0.08773804,-9.335327e-08
47,-0.08529663,-7.485962e-08
48,-0.08285522,-8.511353e-08
49,-0.08041382,-6.265259e-08
50,-0.07797241,-7.284546e-08
51,-0.07553101,-6.011963e-08
52,-0.0730896,-5.85022e-08
53,-0.07064819,-5.136108e-08
54,-0.06820679,-4.135132e-08
55,-0.06576538,-4.745483e-08
56,-0.06332397,-2.764892e-08
57,-0.06088257,-3.78418e-08
58,-0.05844116,-1.583862e-08
59,-0.05599976,-2.383423e-08
60,-0.05355835,-3.198242e-08
61,-0.05111694,-3.210449e-08
62,-0.04867554,-3.192139e-08
63,-0.04623413,-1.654053e-08
64,-0.04379272,-2.682495e-08
65,-0.04135132,-1.617432e-09
66,-0.03890991,-1.385498e-08
67,-0.03646851,3.814697e-09
68,-0.0340271,2.075195e-09
69,-0.03158569,1.000977e-08
70,-0.02914429,1.38855e-08
71,-0.02670288,1.44043e-08
72,-0.02426147,2.508545e-08
73,-0.02182007,2.059937e-08
74,-0.01937866,3.631592e-08
75,-0.01693726,3.118896e-08
76,-0.01449585,3.848267e-08
77,-0.01205444,4.47998e-08
78,-0.009613037,4.736328e-08
79,-0.007171631,6.140137e-08
80,-0.004730225,5.340576e-08
81,-0.002288818,7.061767e-08
82,0.0001525879,6.344604e-08
83,0.002593994,8.09021e-08
84,0.0050354,7.58667e-08
85,0.007476807,8.673096e-08
86,0.009918213,8.898926e-08
87,0.01235962,9.680176e-08
88,0.01480103,1.031189e-07
89,0.01724243,1.011658e-07
90,0.01968384,1.185303e-07
91,0.02212524,1.068726e-07
92,0.02456665,1.293335e-07
93,0.02700806,1.221314e-07
94,0.02944946,1.387634e-07
95,0.03189087,1.333008e-07
96,0.03433228,1.38031e-07
97,0.03677368,1.532288e-07
98,0.03921509,1.459351e-07
99,0.04165649,1.64093e-07
100,0.0440979,1.565857e-07
101,0.04653931,1.755066e-07
102,0.04898071,1.7099e-07
103,0.05142212,1.800842e-07
104,0.05386353,1.846313e-07
105,0.05630493,1.843567e-07
106,0.05874634,1.987305e-07
107,0.06118774,1.905212e-07
108,0.06362915,2.109375e-07
109,0.06607056,2.027283e-07
110,0.06851196,2.148743e-07
111,0.07095337,2.144165e-07
112,0.07339478,2.232361e-07
113,0.07583618,2.300415e-07
114,0.07827759,2.262878e-07
115,0.08071899,2.42096e-07
116,0.0831604,2.308044e-07
117,0.08560181,2.497253e-07
118,0.08804321,2.425537e-07
119,0.09048462,2.53418e-07
120,0.09292603,2.48291e-07
121,0.09536743,2.55188e-07
122,0.09780884,2.619629e-07
123,0.1002502,2.581787e-07
124,0.1026917,2.765198e-07
125,0.1051331,2.639465e-07
126,0.1075745,2.805176e-07
127,0.1100159,2.722778e-07
128,0.1124573,2.818603e-07
129,0.1148987,2.83783e-07
130,0.1173401,2.849121e-07
131,0.1197815,2.930298e-07
132,0.1222229,2.86438e-07
133,0.1246643,3.027039e-07
134,0.1271057,3.118896e-07
135,0.1295471,3.240967e-07
136,0.1319885,3.210449e-07
137,0.1344299,3.28064e-07
138,0.1368713,3.317261e-07
139,0.1393127,3.265381e-07
140,0.1417542,3.347778e-07
141,0.1441956,3.286743e-07
142,0.146637,3.457642e-07
143,0.1490784,3.29895e-07
144,0.1515198,3.436279e-07
145,0.1539612,3.378296e-07
146,0.1564026,3.448486e-07
147,0.158844,3.448486e-07
148,0.1612854,3.466797e-07
149,0.1637268,3.549194e-07
150,0.1661682,3.445435e-07
151,0.1686096,3.616333e-07
152,0.171051,3.445435e-07
153,0.1734924,3.579712e-07
154,0.1759338,3.591919e-07
155,0.1783752,3.591919e-07
156,0.1808167,3.643799e-07
157,0.1832581,3.573608e-07
158,0.1856995,3.771973e-07
159,0.1881409,3.613281e-07
160,0.1905823,3.759766e-07
161,0.1930237,3.634644e-07
162,0.1954651,3.741455e-07
163,0.1979065,3.735352e-07
164,0.2003479,3.744507e-07
165,0.1979065,3.366089e-07
166,0.1954651,3.042603e-07
167,0.1930237,2.905273e-07
168,0.1905823,2.545166e-07
169,0.1881409,2.511597e-07
170,0.1856995,2.25647e-07
171,0.1832581,2.214966e-07
172,0.1808167,2.038574e-07
173,0.1783752,1.929321e-07
174,0.1759338,1.929016e-07
175,0.1734924,1.699524e-07
176,0.171051,1.760864e-07
177,0.1686096,1.512146e-07
178,0.1661682,1.542969e-07
179,0.1637268,1.384277e-07
180,0.1612854,1.369629e-07
181,0.158844,1.27655e-07
182,0.1564026,1.17157e-07
183,0.1539612,1.218872e-07
184,0.1515198,1.007996e-07
185,0.1490784,1.091919e-07
186,0.146637,9.225464e-08
187,0.1441956,9.298706e-08
188,0.1417542,8.26416e-08
189,0.1393127,8.117676e-08
190,0.1368713,7.940674e-08
191,0.1344299,6.588745e-08
192,0.1319885,7.672119e-08
193,0.1295471,5.407715e-08
194,0.1271057,6.195069e-08
195,0.1246643,4.541016e-08
196,0.1222229,5.078125e-08
197,0.1197815,4.013062e-08
198,0.1173401,3.256226e-08
199,0.1148987,3.640747e-08
200,0.1124573,2.096558e-08
201,0.1100159,2.770996e-08
202,0.1075745,1.086426e-08
203,0.1051331,-2.807617e-09
204,0.1026917,-1.913452e-08
205,0.1002502,-1.626587e-08
206,0.09780884,-2.380371e-08
207,0.09536743,-3.436279e-08
208,0.09292603,-3.469849e-08
209,0.09048462,-4.86145e-08
210,0.08804321,-3.918457e-08
211,0.08560181,-5.563355e-08
212,0.0831604,-5.239868e-08
213,0.08071899,-7.01294e-08
214,0.07827759,-7.03125e-08
215,0.07583618,-7.629394e-08
216,0.07339478,-8.374023e-08
217,0.07095337,-7.965088e-08
218,0.06851196,-9.91211e-08
219,0.06607056,-9.32312e-08
220,0.06362915,-1.135864e-07
221,0.06118774,-1.066284e-07
222,0.05874634,-1.190491e-07
223,0.05630493,-1.241455e-07
