;Frequency;Resistance;Delta F;Delta R;Delta Mass;Time (s);Tag
0;5004918.9;9.533;0.0;0.0;0.0;0.597;5
1;5004918.8;9.533;-0.1;0.0;0.001766784;13.481;0
2;5004918.8;9.534;-0.1;0.001;0.001766784;14.549;0
3;5004918.8;9.534;-0.1;0.001;0.001766784;15.628;0
4;5004918.8;9.534;-0.1;0.001;0.001766784;16.705;0
5;5004918.8;9.533;-0.1;0.0;0.001766784;17.771;0
6;5004918.8;9.534;-0.1;0.001;0.001766784;18.852;0
7;5004918.8;9.534;-0.1;0.001;0.001766784;19.92;0
8;5004918.8;9.533;-0.1;0.0;0.001766784;20.998;0
9;5004918.8;9.533;-0.1;0.0;0.001766784;22.067;0
10;5004918.8;9.533;-0.1;0.0;0.001766784;23.144;0
11;5004918.8;9.533;-0.1;0.0;0.001766784;24.219;0
12;5004918.8;9.533;-0.1;0.0;0.001766784;25.302;0
13;5004918.8;9.534;-0.1;0.001;0.001766784;26.369;0
14;5004918.8;9.534;-0.1;0.001;0.001766784;27.448;0
15;5004918.8;9.533;-0.1;0.0;0.001766784;28.515;0
16;5004918.8;9.533;-0.1;0.0;0.001766784;29.597;0
17;5004918.8;9.533;-0.1;0.0;0.001766784;30.675;0
18;5004918.7;9.533;-0.2;0.0;0.003533569;31.751;0
19;5004918.8;9.533;-0.1;0.0;0.001766784;32.824;0
20;5004918.8;9.533;-0.1;0.0;0.001766784;33.888;0
21;5004918.8;9.533;-0.1;0.0;0.001766784;34.971;0
22;5004918.8;9.533;-0.1;0.0;0.001766784;36.048;0
23;5004918.8;9.533;-0.1;0.0;0.001766784;37.118;0
24;5004918.8;9.533;-0.1;0.0;0.001766784;38.193;0
25;5004918.8;9.534;-0.1;0.001;0.001766784;39.267;0
26;5004918.8;9.533;-0.1;0.0;0.001766784;40.332;0
27;5004918.8;9.534;-0.1;0.001;0.001766784;41.412;0
28;5004918.8;9.533;-0.1;0.0;0.001766784;42.49;0
29;5004918.8;9.534;-0.1;0.001;0.001766784;43.558;0
30;5004918.8;9.534;-0.1;0.001;0.001766784;44.634;0
31;5004918.8;9.534;-0.1;0.001;0.001766784;45.708;0
32;5004918.8;9.534;-0.1;0.001;0.001766784;46.788;0
33;5004918.8;9.534;-0.1;0.001;0.001766784;47.866;0
34;5004918.8;9.534;-0.1;0.001;0.001766784;48.938;0
35;5004918.8;9.534;-0.1;0.001;0.001766784;50.001;0
36;5004918.8;9.533;-0.1;0.0;0.001766784;51.085;0
37;5004918.8;9.534;-0.1;0.001;0.001766784;52.161;0
38;5004918.8;9.534;-0.1;0.001;0.001766784;53.236;0
39;5004918.8;9.534;-0.1;0.001;0.001766784;54.31;0
40;5004918.8;9.534;-0.1;0.001;0.001766784;55.373;0
41;5004918.8;9.534;-0.1;0.001;0.001766784;56.454;0
42;5004918.8;9.534;-0.1;0.001;0.001766784;57.53;0
