SRS QCM200 Data File
Data Taken on 03.05.2023 at 10:39:44
Tag Definitions
Zero Rel F        = 1
Zero Rel R        = 2
Zero Rel F and R  = 3
User Tag          = 4
Begining of File  = 5

Notes:


Frequency	Resistance	Delta F	Delta R	Delta Mass	Time (s)	Tag
+05.004918900E+6	+09.533000E+0	+00.000000E+0	+00.000000E+0	+00.000000E+0	+05.970000E-1	5
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+01.348100E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+01.454900E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+01.562800E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+01.670500E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+01.777100E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+01.885200E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+01.992000E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+02.099800E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+02.206700E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+02.314400E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+02.421900E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+02.530200E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+02.636900E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+02.744800E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+02.851500E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+02.959700E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+03.067500E+1	0
+05.004918700E+6	+09.533000E+0	-02.000000E-1	+00.000000E+0	+03.533569E-3	+03.175100E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+03.282400E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+03.388800E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+03.497100E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+03.604800E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+03.711800E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+03.819300E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+03.926700E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+04.033200E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+04.141200E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+04.249000E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+04.355800E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+04.463400E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+04.570800E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+04.678800E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+04.786600E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+04.893800E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+05.000100E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+05.108500E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+05.216100E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+05.323600E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+05.431000E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+05.537300E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+05.645400E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+05.753000E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+05.859900E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+05.967400E+1	0
+05.004918700E+6	+09.534000E+0	-02.000000E-1	+01.000000E-3	+03.533569E-3	+06.075100E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+06.181600E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+06.289500E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+06.397000E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+06.504500E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+06.612300E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+06.719900E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+06.827400E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+06.935700E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+07.042200E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+07.149500E+1	0
+05.004918800E+6	+09.535000E+0	-01.000000E-1	+02.000000E-3	+01.766784E-3	+07.257400E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+07.364700E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+07.471700E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+07.579700E+1	0
+05.004918800E+6	+09.534000E+0	-01.000000E-1	+01.000000E-3	+01.766784E-3	+07.687700E+1	0
+05.004918800E+6	+09.533000E+0	-01.000000E-1	+00.000000E+0	+01.766784E-3	+07.795800E+1	0
