Scans: 1	Points: 2600	time: 333.000000
Energy(calc)	Energy(meas)	Sum	Scan1
1500	1482.9	1090	1090
1499.5	1483.42	962	962
1499	1482.24	966	966
1498.5	1482.28	988	988
1498	1480.96	927	927
1497.5	1480.94	868	868
1497	1480.99	1025	1025
1496.5	1479.76	964	964
1496	1479.77	996	996
1495.5	1478.55	952	952
1495	1478.53	898	898
1494.5	1477.36	933	933
1494	1477.4	952	952
1493.5	1477.36	961	961
1493	1476.13	919	919
1492.5	1476.15	964	964
1492	1474.92	982	982
1491.5	1474.96	1000	1000
1491	1474.97	936	936
1490.5	1473.68	970	970
1490	1473.71	1001	1001
1489.5	1472.57	940	940
1489	1472.53	1063	1063
1488.5	1472.57	1037	1037
1488	1471.3	985	985
1487.5	1471.3	907	907
1487	1470.14	926	926
1486.5	1470.15	917	917
1486	1468.89	974	974
1485.5	1468.91	986	986
1485	1468.9	1009	1009
1484.5	1467.7	959	959
1484	1467.72	930	930
1483.5	1466.47	933	933
1483	1466.46	951	951
1482.5	1466.51	978	978
1482	1465.3	1012	1012
1481.5	1465.3	960	960
1481	1464.09	936	936
1480.5	1464.08	996	996
1480	1464.08	964	964
1479.5	1462.95	942	942
1479	1462.94	962	962
1478.5	1461.71	1009	1009
1478	1461.71	918	918
1477.5	1461.66	962	962
1477	1460.5	876	876
1476.5	1460.51	956	956
1476	1459.22	968	968
1475.5	1459.25	972	972
1475	1458.09	1067	1067
1474.5	1458.07	943	943
1474	1458.09	951	951
1473.5	1456.84	945	945
1473	1456.82	1010	1010
1472.5	1455.7	924	924
1472	1455.71	1002	1002
1471.5	1455.66	931	931
1471	1454.47	901	901
1470.5	1454.45	924	924
1470	1453.26	1001	1001
1469.5	1453.3	942	942
1469	1453.29	1017	1017
1468.5	1452.05	939	939
1468	1452.05	980	980
1467.5	1450.9	1039	1039
1467	1450.87	999	999
1466.5	1450.9	990	990
1466	1449.64	915	915
1465.5	1449.65	867	867
1465	1448.5	942	942
1464.5	1448.48	935	935
1464	1447.2	949	949
1463.5	1447.22	1013	1013
1463	1447.21	904	904
1462.5	1446.03	960	960
1462	1446.06	995	995
1461.5	1444.81	990	990
1461	1444.8	999	999
1460.5	1444.81	928	928
1460	1443.64	950	950
1459.5	1443.65	991	991
1459	1442.4	947	947
1458.5	1442.4	951	951
1458	1442.39	962	962
1457.5	1441.24	1003	1003
1457	1441.19	928	928
1456.5	1439.96	978	978
1456	1439.98	977	977
1455.5	1439.96	938	938
1455	1438.8	965	965
1454.5	1438.8	978	978
1454	1437.55	1016	1016
1453.5	1437.56	937	937
1453	1436.42	981	981
1452.5	1436.37	948	948
1452	1436.39	987	987
1451.5	1435.16	978	978
1451	1435.13	920	920
1450.5	1433.99	956	956
1450	1433.96	907	907
1449.5	1433.95	928	928
1449	1432.75	988	988
1448.5	1432.75	1043	1043
1448	1431.56	915	915
1447.5	1431.58	981	981
1447	1431.56	934	934
1446.5	1430.31	910	910
1446	1430.34	903	903
1445.5	1429.15	960	960
1445	1429.13	1004	1004
1444.5	1427.92	1019	1019
1444	1427.88	1023	1023
1443.5	1427.89	964	964
1443	1426.74	1006	1006
1442.5	1426.71	953	953
1442	1425.49	1022	1022
1441.5	1425.51	955	955
1441	1425.49	923	923
1440.5	1424.32	970	970
1440	1424.34	901	901
1439.5	1423.1	974	974
1439	1423.1	944	944
1438.5	1423.11	1003	1003
1438	1421.93	962	962
1437.5	1421.93	966	966
1437	1420.82	942	942
1436.5	1420.81	1000	1000
1436	1420.84	965	965
1435.5	1419.67	918	918
1435	1419.65	993	993
1434.5	1418.52	963	963
1434	1418.51	904	904
1433.5	1417.34	1019	1019
1433	1417.35	967	967
1432.5	1417.34	1017	1017
1432	1416.18	949	949
1431.5	1416.2	1032	1032
1431	1415.09	979	979
1430.5	1415.07	930	930
1430	1415.08	1024	1024
1429.5	1413.95	1073	1073
1429	1413.93	929	929
1428.5	1412.69	1011	1011
1428	1412.7	959	959
1427.5	1412.67	945	945
1427	1411.56	939	939
1426.5	1411.54	944	944
1426	1410.25	890	890
1425.5	1410.3	951	951
1425	1410.29	927	927
1424.5	1409.09	949	949
1424	1409.14	996	996
1423.5	1407.82	958	958
1423	1407.8	1035	1035
1422.5	1406.65	983	983
1422	1406.62	959	959
1421.5	1406.62	918	918
1421	1405.39	995	995
1420.5	1405.38	999	999
1420	1404.2	906	906
1419.5	1404.22	930	930
1419	1404.2	949	949
1418.5	1402.93	992	992
1418	1402.96	955	955
1417.5	1401.75	963	963
1417	1401.76	886	886
1416.5	1401.78	909	909
1416	1400.48	948	948
1415.5	1400.46	936	936
1415	1399.31	944	944
1414.5	1399.3	927	927
1414	1399.3	916	916
1413.5	1398.09	914	914
1413	1398.07	959	959
1412.5	1396.9	984	984
1412	1396.91	971	971
1411.5	1395.65	930	930
1411	1395.64	1014	1014
1410.5	1395.66	1047	1047
1410	1394.47	942	942
1409.5	1394.51	938	938
1409	1393.26	963	963
1408.5	1393.24	891	891
1408	1393.29	923	923
1407.5	1392.09	987	987
1407	1392.09	968	968
1406.5	1390.86	996	996
1406	1390.83	1018	1018
1405.5	1390.82	965	965
1405	1389.69	1004	1004
1404.5	1389.67	1018	1018
1404	1388.43	995	995
1403.5	1388.45	1072	1072
1403	1387.3	914	914
1402.5	1387.26	962	962
1402	1387.3	990	990
1401.5	1386.07	987	987
1401	1386.03	1041	1041
1400.5	1384.9	927	927
1400	1384.89	908	908
1399.5	1384.87	956	956
1399	1383.65	1084	1084
1398.5	1383.65	938	938
1398	1382.46	949	949
1397.5	1382.48	1004	1004
1397	1382.5	963	963
1396.5	1381.2	993	993
1396	1381.23	923	923
1395.5	1380.05	977	977
1395	1380.04	962	962
1394.5	1380.08	1022	1022
1394	1378.82	965	965
1393.5	1378.8	994	994
1393	1377.67	966	966
1392.5	1377.66	954	954
1392	1376.38	925	925
1391.5	1376.41	980	980
1391	1376.39	979	979
1390.5	1375.21	957	957
1390	1375.26	958	958
1389.5	1373.99	985	985
1389	1373.99	909	909
1388.5	1374	919	919
1388	1372.83	926	926
1387.5	1372.84	914	914
1387	1371.6	911	911
1386.5	1371.58	948	948
1386	1371.58	946	946
1385.5	1370.45	1010	1010
1385	1370.41	999	999
1384.5	1369.18	919	919
1384	1369.18	1048	1048
1383.5	1369.15	947	947
1383	1368.03	979	979
1382.5	1368.02	950	950
1382	1366.75	1001	1001
1381.5	1366.78	963	963
1381	1365.59	1004	1004
1380.5	1365.58	999	999
1380	1365.6	993	993
1379.5	1364.36	979	979
1379	1364.33	932	932
1378.5	1363.2	1009	1009
1378	1363.21	1000	1000
1377.5	1363.18	976	976
1377	1361.92	925	925
1376.5	1361.93	938	938
1376	1360.74	969	969
1375.5	1360.77	956	956
1375	1360.77	932	932
1374.5	1359.52	1029	1029
1374	1359.53	958	958
1373.5	1358.38	979	979
1373	1358.37	995	995
1372.5	1358.41	967	967
1372	1357.13	977	977
1371.5	1357.1	914	914
1371	1355.95	994	994
1370.5	1355.94	962	962
1370	1354.72	935	935
1369.5	1354.74	937	937
1369	1354.71	1015	1015
1368.5	1353.54	948	948
1368	1353.56	920	920
1367.5	1352.29	937	937
1367	1352.29	965	965
1366.5	1352.34	932	932
1366	1351.12	967	967
1365.5	1351.1	941	941
1365	1349.93	910	910
1364.5	1349.88	956	956
1364	1349.9	919	919
1363.5	1348.74	1012	1012
1363	1348.72	992	992
1362.5	1347.52	1014	1014
1362	1347.52	906	906
1361.5	1347.51	1044	1044
1361	1346.31	996	996
1360.5	1346.33	888	888
1360	1345.1	998	998
1359.5	1345.08	1025	1025
