Scans: 1	Points: 2600	time: 333.000000
Energy(calc)	Energy(meas)	Sum	Scan1
1500	1482.95	222	222
1499.5	1483.52	155	155
1499	1482.29	153	153
1498.5	1482.29	116	116
1498	1481	126	126
1497.5	1481.05	107	107
1497	1481.02	88	88
1496.5	1479.81	110	110
1496	1479.85	149	149
1495.5	1478.56	132	132
1495	1478.55	121	121
1494.5	1477.41	129	129
1494	1477.37	162	162
1493.5	1477.39	109	109
1493	1476.18	126	126
1492.5	1476.14	137	137
1492	1474.99	105	105
1491.5	1475.02	124	124
1491	1474.98	111	111
1490.5	1473.76	139	139
1490	1473.76	125	125
1489.5	1472.54	135	135
1489	1472.58	114	114
1488.5	1472.6	102	102
1488	1471.36	124	124
1487.5	1471.38	152	152
1487	1470.18	123	123
1486.5	1470.15	128	128
1486	1468.95	111	111
1485.5	1468.96	107	107
1485	1468.92	121	121
1484.5	1467.75	153	153
1484	1467.75	113	113
1483.5	1466.53	116	116
1483	1466.54	127	127
1482.5	1466.53	128	128
1482	1465.31	119	119
1481.5	1465.34	142	142
1481	1464.11	85	85
1480.5	1464.1	123	123
1480	1464.13	120	120
1479.5	1462.93	134	134
1479	1462.9	95	95
1478.5	1461.74	86	86
1478	1461.7	121	121
1477.5	1461.7	106	106
1477	1460.5	128	128
1476.5	1460.48	129	129
1476	1459.27	166	166
1475.5	1459.3	123	123
1475	1458.05	152	152
1474.5	1458.05	118	118
1474	1458.11	110	110
1473.5	1456.86	151	151
1473	1456.89	116	116
1472.5	1455.69	122	122
1472	1455.68	161	161
1471.5	1455.68	94	94
1471	1454.52	140	140
1470.5	1454.49	134	134
1470	1453.25	134	134
1469.5	1453.27	125	125
1469	1453.24	132	132
1468.5	1452.09	103	103
1468	1452.1	122	122
1467.5	1450.83	112	112
1467	1450.86	147	147
1466.5	1450.88	148	148
1466	1449.67	109	109
1465.5	1449.7	138	138
1465	1448.45	126	126
1464.5	1448.44	137	137
1464	1447.25	128	128
1463.5	1447.25	132	132
1463	1447.25	124	124
1462.5	1446.01	163	163
1462	1446.01	115	115
1461.5	1444.83	124	124
1461	1444.85	110	110
1460.5	1444.85	122	122
1460	1443.6	93	93
1459.5	1443.63	149	149
1459	1442.45	116	116
1458.5	1442.45	121	121
1458	1442.46	141	141
1457.5	1441.22	124	124
1457	1441.19	133	133
1456.5	1440.04	126	126
1456	1440.01	134	134
1455.5	1440	104	104
1455	1438.77	124	124
1454.5	1438.77	133	133
1454	1437.6	138	138
1453.5	1437.62	124	124
1453	1436.38	138	138
1452.5	1436.39	130	130
1452	1436.41	132	132
1451.5	1435.21	127	127
1451	1435.22	127	127
1450.5	1433.96	159	159
1450	1433.96	143	143
1449.5	1433.96	117	117
1449	1432.81	109	109
1448.5	1432.77	139	139
1448	1431.55	101	101
1447.5	1431.54	150	150
1447	1431.53	115	115
1446.5	1430.37	155	155
1446	1430.38	121	121
1445.5	1429.11	107	107
1445	1429.14	152	152
1444.5	1427.94	126	126
1444	1427.93	139	139
1443.5	1427.96	128	128
1443	1426.68	112	112
1442.5	1426.71	116	116
1442	1425.55	131	131
1441.5	1425.51	154	154
1441	1425.53	147	147
1440.5	1424.34	108	108
1440	1424.31	129	129
1439.5	1423.15	153	153
1439	1423.17	125	125
1438.5	1423.13	118	118
1438	1421.94	108	108
1437.5	1421.93	122	122
1437	1420.83	120	120
1436.5	1420.86	135	135
1436	1420.87	103	103
1435.5	1419.64	111	111
1435	1419.68	145	145
1434.5	1418.53	140	140
1434	1418.51	99	99
1433.5	1417.39	120	120
1433	1417.37	117	117
1432.5	1417.37	143	143
1432	1416.19	146	146
1431.5	1416.17	128	128
1431	1415.1	163	163
1430.5	1415.14	109	109
1430	1415.08	111	111
1429.5	1413.9	145	145
1429	1413.92	137	137
1428.5	1412.74	115	115
1428	1412.76	166	166
1427.5	1412.74	153	153
1427	1411.5	171	171
1426.5	1411.53	100	100
1426	1410.31	142	142
1425.5	1410.29	128	128
1425	1410.32	136	136
1424.5	1409.08	166	166
1424	1409.06	124	124
1423.5	1407.89	110	110
1423	1407.86	129	129
1422.5	1406.6	133	133
1422	1406.63	130	130
1421.5	1406.59	126	126
1421	1405.44	133	133
1420.5	1405.45	135	135
1420	1404.18	126	126
1419.5	1404.19	121	121
1419	1404.19	121	121
1418.5	1402.92	183	183
1418	1402.97	125	125
1417.5	1401.72	153	153
1417	1401.7	174	174
1416.5	1401.73	157	157
1416	1400.52	109	109
1415.5	1400.51	122	122
1415	1399.3	118	118
1414.5	1399.31	125	125
1414	1399.29	126	126
1413.5	1398.11	105	105
1413	1398.1	151	151
1412.5	1396.88	151	151
1412	1396.9	131	131
1411.5	1395.69	117	117
1411	1395.68	135	135
1410.5	1395.7	168	168
1410	1394.51	139	139
1409.5	1394.47	132	132
1409	1393.31	127	127
