BindingEnergy,Scan1
-41.59999999999991,925
-41.450000000000045,822
-41.460000000000036,886
-40.86999999999989,787
-40.27999999999997,863
-39.63000000000011,820
-39.01999999999998,812
-39.02999999999997,868
-38.47000000000003,860
-37.83999999999992,875
-37.210000000000036,899
-36.6400000000001,888
-36.069999999999936,830
-36.07999999999993,874
-35.47000000000003,860
-34.77999999999997,884
-34.22000000000003,850
-33.67000000000007,826
-33.02999999999997,841
-33.049999999999955,869
-32.430000000000064,845
-31.809999999999945,856
-31.269999999999982,845
-30.65000000000009,841
-30.61999999999989,874
-29.99000000000001,909
-29.3900000000001,812
-28.799999999999955,795
-28.230000000000018,814
-27.579999999999927,883
-27.579999999999927,919
-27.019999999999982,839
-26.430000000000064,828
-25.809999999999945,811
-25.200000000000045,911
-25.160000000000082,860
-24.579999999999927,849
-24.029999999999973,846
-23.40000000000009,864
-22.769999999999982,898
-22.190000000000055,817
-22.160000000000082,825
-21.61999999999989,797
-21.1099999999999,801
-20.5,840
-19.910000000000082,902
-19.920000000000073,817
-19.339999999999918,881
-18.769999999999982,829
-18.160000000000082,935
-17.549999999999955,832
-16.99000000000001,791
-17.019999999999982,868
-16.440000000000055,890
-15.849999999999909,835
-15.289999999999964,858
-14.730000000000018,876
-14.720000000000027,857
-14.190000000000055,891
-13.569999999999936,806
-12.930000000000064,847
-12.38000000000011,867
-11.799999999999955,827
-11.779999999999973,860
-11.220000000000027,808
-10.559999999999945,835
-9.940000000000055,867
-9.400000000000091,862
-9.38000000000011,870
-8.720000000000027,864
-8.069999999999936,880
-7.4500000000000455,890
-6.829999999999927,830
-6.230000000000018,829
-6.2000000000000455,903
-5.579999999999927,778
-4.990000000000009,896
-4.349999999999909,845
-3.740000000000009,910
-3.75,841
-3.0799999999999272,790
-2.4500000000000455,876
-1.8699999999998909,872
-1.2000000000000455,831
-0.5799999999999272,831
-0.599999999999909,841
0.01999999999998181,928
0.5499999999999545,849
1.1700000000000728,901
1.8199999999999363,857
1.7999999999999545,887
2.3900000000001,907
2.980000000000018,895
3.589999999999918,844
4.230000000000018,925
4.829999999999927,800
4.7999999999999545,833
5.410000000000082,847
6.009999999999991,904
6.6400000000001,883
7.25,896
7.240000000000009,828
7.789999999999964,812
8.440000000000055,787
9.059999999999945,819
9.6099999999999,858
10.210000000000036,882
10.220000000000027,808
10.779999999999973,873
11.480000000000018,878
12.069999999999936,807
12.61999999999989,899
13.25,879
13.230000000000018,855
13.8599999999999,819
14.480000000000018,905
15.039999999999964,920
15.63000000000011,896
15.650000000000091,874
16.299999999999955,898
16.8900000000001,838
17.49000000000001,823
18.079999999999927,854
18.690000000000055,867
18.74000000000001,871
19.329999999999927,871
19.84999999999991,856
20.480000000000018,874
21.09999999999991,868
21.059999999999945,889
21.710000000000036,936
22.269999999999982,862
22.839999999999918,843
23.5,899
24.11999999999989,905
24.079999999999927,879
24.690000000000055,879
25.25,872
25.86999999999989,900
26.5,814
26.49000000000001,854
27.059999999999945,878
27.680000000000064,890
28.279999999999973,839
28.88000000000011,845
29.470000000000027,837
29.480000000000018,861
30.059999999999945,867
30.75,875
31.34999999999991,869
