Scans: 1	Points: 2200	time: 333.000000
Energy(calc)	Energy(meas)	Sum	Scan1
1300	1285.6	925	925
1299.5	1285.45	822	822
1299	1285.46	886	886
1298.5	1284.87	787	787
1298	1284.28	863	863
1297.5	1283.63	820	820
1297	1283.02	812	812
1296.5	1283.03	868	868
1296	1282.47	860	860
1295.5	1281.84	875	875
1295	1281.21	899	899
1294.5	1280.64	888	888
1294	1280.07	830	830
1293.5	1280.08	874	874
1293	1279.47	860	860
1292.5	1278.78	884	884
1292	1278.22	850	850
1291.5	1277.67	826	826
1291	1277.03	841	841
1290.5	1277.05	869	869
1290	1276.43	845	845
1289.5	1275.81	856	856
1289	1275.27	845	845
1288.5	1274.65	841	841
1288	1274.62	874	874
1287.5	1273.99	909	909
1287	1273.39	812	812
1286.5	1272.8	795	795
1286	1272.23	814	814
1285.5	1271.58	883	883
1285	1271.58	919	919
1284.5	1271.02	839	839
1284	1270.43	828	828
1283.5	1269.81	811	811
1283	1269.2	911	911
1282.5	1269.16	860	860
1282	1268.58	849	849
1281.5	1268.03	846	846
1281	1267.4	864	864
1280.5	1266.77	898	898
1280	1266.19	817	817
1279.5	1266.16	825	825
1279	1265.62	797	797
1278.5	1265.11	801	801
1278	1264.5	840	840
1277.5	1263.91	902	902
1277	1263.92	817	817
1276.5	1263.34	881	881
1276	1262.77	829	829
1275.5	1262.16	935	935
1275	1261.55	832	832
1274.5	1260.99	791	791
1274	1261.02	868	868
1273.5	1260.44	890	890
1273	1259.85	835	835
1272.5	1259.29	858	858
1272	1258.73	876	876
1271.5	1258.72	857	857
1271	1258.19	891	891
1270.5	1257.57	806	806
1270	1256.93	847	847
1269.5	1256.38	867	867
1269	1255.8	827	827
1268.5	1255.78	860	860
1268	1255.22	808	808
1267.5	1254.56	835	835
1267	1253.94	867	867
1266.5	1253.4	862	862
1266	1253.38	870	870
1265.5	1252.72	864	864
1265	1252.07	880	880
1264.5	1251.45	890	890
1264	1250.83	830	830
1263.5	1250.23	829	829
1263	1250.2	903	903
1262.5	1249.58	778	778
1262	1248.99	896	896
1261.5	1248.35	845	845
1261	1247.74	910	910
1260.5	1247.75	841	841
1260	1247.08	790	790
1259.5	1246.45	876	876
1259	1245.87	872	872
1258.5	1245.2	831	831
1258	1244.58	831	831
1257.5	1244.6	841	841
1257	1243.98	928	928
1256.5	1243.45	849	849
1256	1242.83	901	901
1255.5	1242.18	857	857
1255	1242.2	887	887
1254.5	1241.61	907	907
1254	1241.02	895	895
1253.5	1240.41	844	844
1253	1239.77	925	925
1252.5	1239.17	800	800
1252	1239.2	833	833
1251.5	1238.59	847	847
1251	1237.99	904	904
1250.5	1237.36	883	883
1250	1236.75	896	896
1249.5	1236.76	828	828
1249	1236.21	812	812
1248.5	1235.56	787	787
1248	1234.94	819	819
1247.5	1234.39	858	858
1247	1233.79	882	882
1246.5	1233.78	808	808
1246	1233.22	873	873
1245.5	1232.52	878	878
1245	1231.93	807	807
1244.5	1231.38	899	899
1244	1230.75	879	879
1243.5	1230.77	855	855
1243	1230.14	819	819
1242.5	1229.52	905	905
1242	1228.96	920	920
1241.5	1228.37	896	896
1241	1228.35	874	874
1240.5	1227.7	898	898
1240	1227.11	838	838
1239.5	1226.51	823	823
1239	1225.92	854	854
1238.5	1225.31	867	867
1238	1225.26	871	871
1237.5	1224.67	871	871
1237	1224.15	856	856
1236.5	1223.52	874	874
1236	1222.9	868	868
1235.5	1222.94	889	889
1235	1222.29	936	936
1234.5	1221.73	862	862
1234	1221.16	843	843
1233.5	1220.5	899	899
1233	1219.88	905	905
1232.5	1219.92	879	879
1232	1219.31	879	879
1231.5	1218.75	872	872
1231	1218.13	900	900
1230.5	1217.5	814	814
1230	1217.51	854	854
1229.5	1216.94	878	878
1229	1216.32	890	890
1228.5	1215.72	839	839
1228	1215.12	845	845
1227.5	1214.53	837	837
1227	1214.52	861	861
