Scans: 7	Points: 133	time: 333.000000
Energy(calc)	Energy(meas)	Sum	Scan1	Scan2	Scan3	Scan4	Scan5	Scan6	Scan7
1270	1266.47	6899	978	958	967	1032	1022	960	982
1269.7	1266.21	7068	992	1072	1029	948	1008	1021	998
1269.4	1265.94	6851	975	924	963	939	1015	974	1061
1269.1	1265.66	7040	1012	912	1025	993	1115	1015	968
1268.8	1265.41	6882	977	1001	1001	978	989	978	958
1268.5	1265.14	6945	1052	963	1010	1019	976	1000	925
1268.2	1264.85	6951	996	972	1008	986	1015	1012	962
1267.89	1264.55	6938	1002	1010	980	1030	1053	953	910
1267.59	1264.26	6960	1060	952	1019	1000	999	947	983
1267.29	1264	6798	983	969	893	1051	987	955	960
1266.99	1263.68	6896	1053	980	985	949	1006	1009	914
1266.69	1263.44	6974	990	1027	994	1003	1000	999	961
1266.39	1263.2	6958	1019	981	1024	1015	1003	935	981
1266.09	1262.88	7050	1026	1009	957	1046	1028	1018	966
1265.79	1262.59	7140	994	1009	1026	1041	1037	1036	997
1265.49	1262.31	6969	1035	982	1097	991	983	962	919
1265.19	1261.97	7061	1033	972	1043	980	1056	1043	934
1264.89	1261.68	7245	996	1077	1068	970	1038	1064	1032
1264.59	1261.41	6928	974	1002	1039	1024	962	968	959
1264.29	1261.11	6864	1035	1049	911	968	1008	952	941
1263.98	1260.87	6924	1023	1004	1010	997	983	981	926
1263.68	1260.61	6953	985	1020	966	1054	1030	948	950
1263.38	1260.28	7057	1071	1026	976	1014	964	1012	994
1263.08	1259.99	6991	978	986	980	988	1054	1029	976
1262.78	1259.74	6889	975	952	1019	1028	1011	924	980
1262.48	1259.44	6958	1022	1036	1017	978	962	979	964
1262.18	1259.14	6903	1010	1008	989	937	1044	929	986
1261.88	1258.91	7020	1005	1112	993	991	1011	918	990
1261.58	1258.62	6967	964	1044	989	1039	955	960	1016
1261.28	1258.34	6921	952	1035	1032	966	979	1024	933
1260.98	1258.08	6925	1013	1045	983	985	978	943	978
1260.68	1257.78	7020	1003	966	1012	1002	1012	1002	1023
1260.38	1257.45	7122	1007	933	1030	1044	1022	1098	988
1260.08	1257.15	7117	985	1073	1041	1056	1012	1004	946
1259.77	1256.85	6956	996	1008	1005	1052	966	969	960
1259.47	1256.52	7109	1036	1016	1041	1032	1010	973	1001
1259.17	1256.27	7180	1113	1035	1055	979	1053	973	972
1258.87	1255.99	7141	997	1007	1067	1035	1000	1010	1025
1258.57	1255.71	7016	1047	1053	996	1052	950	962	956
1258.27	1255.43	7025	980	1000	1060	1024	1010	888	1063
1257.97	1255.11	6987	982	997	1043	1022	959	987	997
1257.67	1254.75	6988	1017	1010	1010	993	1025	969	964
1257.37	1254.48	7132	1010	1031	1084	979	1042	960	1026
1257.07	1254.18	6936	976	986	996	1009	945	987	1037
1256.77	1253.87	7042	1058	1002	1020	989	958	1011	1004
