Scans: 1	Points: 2200	time: 333.000000
Energy(calc)	Energy(meas)	Sum	Scan1
1300	1286.1	1145	1145
1299.5	1285.59	1080	1080
1299	1285.57	1026	1026
1298.5	1285.05	1007	1007
1298	1284.41	1131	1131
1297.5	1283.76	1090	1090
1297	1283.17	1019	1019
1296.5	1283.16	1068	1068
1296	1282.59	1004	1004
1295.5	1281.99	1055	1055
1295	1281.33	1111	1111
1294.5	1280.74	1035	1035
1294	1280.2	1039	1039
1293.5	1280.18	1067	1067
1293	1279.57	1037	1037
1292.5	1278.95	1039	1039
1292	1278.31	1023	1023
1291.5	1277.76	1099	1099
1291	1277.16	1042	1042
1290.5	1277.17	1120	1120
1290	1276.55	1072	1072
1289.5	1275.92	1027	1027
1289	1275.37	1012	1012
1288.5	1274.78	1050	1050
1288	1274.8	1118	1118
1287.5	1274.14	1045	1045
1287	1273.53	1054	1054
1286.5	1272.99	1087	1087
1286	1272.35	1097	1097
1285.5	1271.73	987	987
1285	1271.74	1128	1128
1284.5	1271.12	1045	1045
1284	1270.58	1101	1101
1283.5	1270.02	1053	1053
1283	1269.32	1070	1070
1282.5	1269.33	1102	1102
1282	1268.69	1021	1021
1281.5	1268.13	1067	1067
1281	1267.56	1028	1028
1280.5	1266.88	1095	1095
1280	1266.3	1043	1043
1279.5	1266.3	1055	1055
1279	1265.76	1091	1091
1278.5	1265.27	1086	1086
1278	1264.65	1035	1035
1277.5	1264.04	1046	1046
1277	1264.05	1089	1089
1276.5	1263.48	1101	1101
1276	1262.94	1053	1053
1275.5	1262.31	1062	1062
1275	1261.72	1090	1090
1274.5	1261.15	1032	1032
1274	1261.13	1080	1080
1273.5	1260.6	1072	1072
1273	1259.99	1021	1021
1272.5	1259.43	1026	1026
1272	1258.85	1100	1100
1271.5	1258.85	1055	1055
1271	1258.31	1120	1120
1270.5	1257.73	1062	1062
1270	1257.08	1153	1153
1269.5	1256.46	1053	1053
1269	1255.94	1040	1040
1268.5	1255.92	1063	1063
1268	1255.33	1036	1036
1267.5	1254.7	1039	1039
1267	1254.09	1059	1059
1266.5	1253.58	1121	1121
1266	1253.52	1072	1072
1265.5	1252.9	1071	1071
1265	1252.18	1092	1092
1264.5	1251.58	1092	1092
1264	1250.99	997	997
1263.5	1250.36	1050	1050
1263	1250.38	1066	1066
1262.5	1249.73	1145	1145
1262	1249.09	1082	1082
1261.5	1248.51	1060	1060
1261	1247.89	1113	1113
1260.5	1247.91	1070	1070
1260	1247.24	1202	1202
1259.5	1246.56	1117	1117
1259	1246	1105	1105
1258.5	1245.38	1147	1147
1258	1244.72	1097	1097
1257.5	1244.72	1175	1175
1257	1244.13	1143	1143
1256.5	1243.56	1125	1125
1256	1242.95	1129	1129
1255.5	1242.33	1051	1051
1255	1242.32	1184	1184
1254.5	1241.7	1148	1148
1254	1241.16	1128	1128
1253.5	1240.51	974	974
1253	1239.89	1028	1028
1252.5	1239.31	1058	1058
1252	1239.27	1131	1131
1251.5	1238.73	993	993
1251	1238.13	1003	1003
1250.5	1237.48	1070	1070
1250	1236.9	1050	1050
1249.5	1236.9	1074	1074
1249	1236.32	1062	1062
1248.5	1235.72	1015	1015
1248	1235.11	1096	1096
1247.5	1234.5	1068	1068
1247	1233.94	1100	1100
1246.5	1233.96	1043	1043
1246	1233.32	1069	1069
1245.5	1232.7	1072	1072
1245	1232.08	972	972
1244.5	1231.5	1009	1009
1244	1230.92	1078	1078
1243.5	1230.91	1070	1070
1243	1230.29	1024	1024
1242.5	1229.67	1087	1087
1242	1229.1	1029	1029
1241.5	1228.48	1109	1109
1241	1228.5	1008	1008
1240.5	1227.9	1038	1038
1240	1227.24	1088	1088
1239.5	1226.69	1063	1063
1239	1226.11	1068	1068
1238.5	1225.45	1112	1112
1238	1225.46	1070	1070
1237.5	1224.87	1046	1046
1237	1224.27	1136	1136
1236.5	1223.69	1028	1028
1236	1223.08	1065	1065
1235.5	1223.06	1066	1066
1235	1222.44	1074	1074
1234.5	1221.88	1092	1092
1234	1221.29	1036	1036
1233.5	1220.67	1077	1077
1233	1220.06	1083	1083
1232.5	1220.03	1042	1042
1232	1219.46	1025	1025
1231.5	1218.9	1067	1067
1231	1218.25	1036	1036
1230.5	1217.64	1134	1134
1230	1217.65	1042	1042
1229.5	1217.04	1075	1075
1229	1216.49	1034	1034
1228.5	1215.88	1024	1024
1228	1215.24	1047	1047
1227.5	1214.66	1065	1065
1227	1214.69	1043	1043
1226.5	1214.09	1069	1069
1226	1213.44	1110	1110
1225.5	1212.83	1096	1096
1225	1212.22	1096	1096
1224.5	1212.22	1124	1124
1224	1211.65	1049	1049
1223.5	1211.01	1168	1168
1223	1210.37	1098	1098
1222.5	1209.82	1031	1031
1222	1209.22	1010	1010
1221.5	1209.21	1006	1006
1221	1208.61	1048	1048
1220.5	1207.97	1069	1069
1220	1207.35	1081	1081
1219.5	1206.8	1000	1000
1219	1206.79	1147	1147
1218.5	1206.16	1042	1042
1218	1205.54	1074	1074
1217.5	1204.97	1078	1078
1217	1204.39	1101	1101
1216.5	1203.79	1022	1022
1216	1203.79	1083	1083
1215.5	1203.15	1098	1098
1215	1202.56	1065	1065
1214.5	1201.99	1135	1135
1214	1201.35	1122	1122
1213.5	1201.37	1074	1074
1213	1200.73	1011	1011
1212.5	1200.12	1031	1031
1212	1199.58	1057	1057
1211.5	1198.99	1128	1128
1211	1198.35	1063	1063
1210.5	1198.37	1143	1143
1210	1197.74	1044	1044
1209.5	1197.18	1113	1113
1209	1196.59	1089	1089
1208.5	1195.95	1114	1114
1208	1195.95	1053	1053
1207.5	1195.38	1118	1118
1207	1194.8	1097	1097
1206.5	1194.17	1062	1062
1206	1193.55	1152	1152
1205.5	1192.93	1033	1033
1205	1192.91	1092	1092
1204.5	1192.36	1138	1138
1204	1191.78	1171	1171
1203.5	1191.13	1121	1121
1203	1190.53	1055	1055
1202.5	1189.95	1154	1154
1202	1189.96	1154	1154
1201.5	1189.38	1131	1131
1201	1188.74	1110	1110
1200.5	1188.11	1053	1053
1200	1187.53	1109	1109
1199.5	1187.54	1125	1125
1199	1186.92	1107	1107
1198.5	1186.28	1070	1070
1198	1185.68	1060	1060
1197.5	1185.09	1145	1145
1197	1184.5	1136	1136
1196.5	1184.5	1075	1075
1196	1183.84	1112	1112
1195.5	1183.25	1076	1076
1195	1182.66	1102	1102
1194.5	1182.07	1129	1129
1194	1182.07	1137	1137
1193.5	1181.41	1069	1069
1193	1180.76	1133	1133
1192.5	1180.2	1146	1146
1192	1179.61	1093	1093
1191.5	1178.96	1040	1040
1191	1178.99	1076	1076
1190.5	1178.36	1129	1129
1190	1177.79	1099	1099
1189.5	1177.22	1176	1176
1189	1176.58	1103	1103
1188.5	1176.56	1108	1108
1188	1175.97	1106	1106
1187.5	1175.38	1154	1154
1187	1174.75	1065	1065
1186.5	1174.1	1015	1015
1186	1173.48	1187	1187
1185.5	1173.47	1058	1058
1185	1172.91	1163	1163
1184.5	1172.3	1131	1131
1184	1171.65	1086	1086
1183.5	1171.05	1125	1125
1183	1171.03	1080	1080
1182.5	1170.45	1105	1105
1182	1169.88	1115	1115
1181.5	1169.24	1091	1091
1181	1168.57	1139	1139
1180.5	1168.01	1115	1115
1180	1168.01	1050	1050
1179.5	1167.38	1087	1087
1179	1166.77	1063	1063
1178.5	1166.16	1121	1121
1178	1165.58	1167	1167
1177.5	1165.61	1208	1208
1177	1165.02	1041	1041
1176.5	1164.35	1106	1106
1176	1163.75	1098	1098
1175.5	1163.18	1171	1171
1175	1162.57	1097	1097
1174.5	1162.6	1162	1162
1174	1161.96	1103	1103
1173.5	1161.33	1072	1072
1173	1160.78	1151	1151
1172.5	1160.21	1163	1163
1172	1160.17	1157	1157
1171.5	1159.59	1125	1125
1171	1158.96	1124	1124
1170.5	1158.36	1144	1144
1170	1157.79	1101	1101
1169.5	1157.17	1133	1133
1169	1157.15	1140	1140
1168.5	1156.55	1192	1192
1168	1155.99	1059	1059
1167.5	1155.37	1155	1155
1167	1154.74	1126	1126
1166.5	1154.76	1079	1079
1166	1154.09	1111	1111
1165.5	1153.54	1120	1120
1165	1152.97	1021	1021
1164.5	1152.32	1045	1045
1164	1151.69	1233	1233
1163.5	1151.72	1133	1133
1163	1151.12	1108	1108
1162.5	1150.55	1095	1095
1162	1149.97	1112	1112
1161.5	1149.31	1043	1043
1161	1149.3	1115	1115
1160.5	1148.74	1080	1080
1160	1148.13	1078	1078
1159.5	1147.51	1148	1148
1159	1146.91	1157	1157
1158.5	1146.32	1097	1097
1158	1146.32	1110	1110
1157.5	1145.76	1131	1131
1157	1145.11	1128	1128
1156.5	1144.46	1070	1070
1156	1143.89	1125	1125
1155.5	1143.34	1167	1167
1155	1143.31	1096	1096
1154.5	1142.71	1134	1134
1154	1142.07	1146	1146
1153.5	1141.47	1085	1085
1153	1140.96	1165	1165
1152.5	1140.93	1124	1124
1152	1140.33	1143	1143
1151.5	1139.7	1146	1146
1151	1139.09	1186	1186
1150.5	1138.52	1067	1067
1150	1137.92	1206	1206
1149.5	1137.93	1116	1116
1149	1137.26	1078	1078
1148.5	1136.7	1162	1162
1148	1136.15	1141	1141
1147.5	1135.49	1149	1149
1147	1135.5	1193	1193
1146.5	1134.85	1083	1083
1146	1134.22	1105	1105
1145.5	1133.68	1212	1212
1145	1133.1	1174	1174
1144.5	1132.42	1090	1090
1144	1132.42	1127	1127
1143.5	1131.83	1133	1133
1143	1131.26	1190	1190
1142.5	1130.67	1108	1108
1142	1130.05	1173	1173
1141.5	1130.04	1172	1172
1141	1129.4	1147	1147
1140.5	1128.89	1162	1162
1140	1128.25	1127	1127
1139.5	1127.59	1145	1145
1139	1127.04	1140	1140
1138.5	1127.02	1175	1175
1138	1126.45	1150	1150
1137.5	1125.89	1114	1114
1137	1125.23	1071	1071
1136.5	1124.59	1121	1121
1136	1124.6	1164	1164
1135.5	1124.07	1150	1150
1135	1123.44	1171	1171
1134.5	1122.84	1128	1128
1134	1122.19	1124	1124
1133.5	1121.62	1194	1194
1133	1121.65	1225	1225
1132.5	1121.07	1196	1196
1132	1120.42	1121	1121
1131.5	1119.8	1177	1177
1131	1119.25	1123	1123
1130.5	1119.23	1176	1176
1130	1118.65	1142	1142
1129.5	1118.03	1161	1161
1129	1117.38	1191	1191
1128.5	1116.84	1246	1246
1128	1116.3	1218	1218
1127.5	1116.27	1224	1224
1127	1115.6	1144	1144
1126.5	1114.98	1225	1225
1126	1114.43	1145	1145
1125.5	1113.83	1196	1196
1125	1113.87	1174	1174
1124.5	1113.21	1143	1143
1124	1112.57	1162	1162
1123.5	1112.02	1139	1139
1123	1111.46	1185	1185
1122.5	1110.8	1141	1141
1122	1110.83	1185	1185
1121.5	1110.16	1168	1168
1121	1109.58	1173	1173
1120.5	1109.05	1176	1176
1120	1108.48	1098	1098
1119.5	1108.45	1127	1127
1119	1107.93	1200	1200
1118.5	1107.36	1185	1185
1118	1106.78	1111	1111
1117.5	1106.2	1176	1176
1117	1105.61	1114	1114
1116.5	1105.6	1151	1151
1116	1105.03	1220	1220
1115.5	1104.48	1187	1187
1115	1103.87	1197	1197
1114.5	1103.33	1098	1098
1114	1102.77	1159	1159
1113.5	1102.74	1108	1108
1113	1102.24	1092	1092
1112.5	1101.65	1125	1125
1112	1101.02	1188	1188
1111.5	1100.41	1151	1151
1111	1100.4	1181	1181
1110.5	1099.81	1160	1160
1110	1099.26	1094	1094
1109.5	1098.62	1121	1121
1109	1097.99	1187	1187
1108.5	1097.42	1167	1167
1108	1097.42	1193	1193
1107.5	1096.83	1173	1173
1107	1096.19	1235	1235
1106.5	1095.54	1182	1182
1106	1094.94	1084	1084
1105.5	1094.96	1220	1220
1105	1094.37	1188	1188
1104.5	1093.71	1065	1065
1104	1093.11	1107	1107
1103.5	1092.52	1226	1226
1103	1091.92	1174	1174
1102.5	1091.95	1213	1213
1102	1091.33	1114	1114
1101.5	1090.64	1143	1143
1101	1090.05	1167	1167
1100.5	1089.48	1183	1183
1100	1089.45	1216	1216
1099.5	1088.84	1189	1189
1099	1088.2	1113	1113
1098.5	1087.6	1225	1225
1098	1087.04	1124	1124
1097.5	1086.41	1205	1205
1097	1086.39	1187	1187
1096.5	1085.77	1159	1159
1096	1085.19	1173	1173
1095.5	1084.61	1193	1193
1095	1084	1191	1191
1094.5	1083.99	1211	1211
1094	1083.34	1239	1239
1093.5	1082.78	1177	1177
1093	1082.23	1243	1243
1092.5	1081.6	1198	1198
1092	1080.97	1197	1197
1091.5	1080.98	1171	1171
1091	1080.37	1217	1217
1090.5	1079.84	1206	1206
1090	1079.21	1078	1078
1089.5	1078.56	1170	1170
1089	1078.57	1220	1220
1088.5	1078	1206	1206
1088	1077.41	1209	1209
1087.5	1076.79	1138	1138
1087	1076.15	1123	1123
1086.5	1075.54	1242	1242
1086	1075.54	1194	1194
1085.5	1075	1122	1122
1085	1074.35	1286	1286
1084.5	1073.72	1177	1177
1084	1073.16	1158	1158
1083.5	1073.15	1164	1164
1083	1072.59	1176	1176
1082.5	1072.01	1192	1192
1082	1071.33	1163	1163
1081.5	1070.72	1121	1121
1081	1070.18	1175	1175
1080.5	1070.16	1220	1220
1080	1069.56	1127	1127
1079.5	1068.93	1094	1094
1079	1068.33	1197	1197
1078.5	1067.77	1173	1173
1078	1067.78	1118	1118
1077.5	1067.15	1214	1214
1077	1066.52	1213	1213
1076.5	1065.94	1157	1157
1076	1065.36	1155	1155
1075.5	1064.76	1278	1278
1075	1064.76	1208	1208
1074.5	1064.09	1175	1175
1074	1063.53	1177	1177
1073.5	1062.97	1184	1184
1073	1062.37	1307	1307
1072.5	1062.36	1139	1139
1072	1061.77	1193	1193
1071.5	1061.09	1245	1245
1071	1060.56	1269	1269
1070.5	1059.97	1236	1236
1070	1059.3	1203	1203
1069.5	1059.32	1208	1208
1069	1058.73	1221	1221
1068.5	1058.14	1264	1264
1068	1057.54	1284	1284
1067.5	1056.94	1231	1231
1067	1056.27	1252	1252
1066.5	1056.28	1177	1177
1066	1055.71	1181	1181
1065.5	1055.12	1198	1198
1065	1054.47	1193	1193
1064.5	1053.9	1198	1198
1064	1053.87	1228	1228
1063.5	1053.29	1184	1184
1063	1052.72	1184	1184
1062.5	1052.07	1188	1188
1062	1051.42	1190	1190
1061.5	1050.88	1219	1219
1061	1050.86	1183	1183
1060.5	1050.26	1153	1153
1060	1049.65	1209	1209
1059.5	1049.03	1205	1205
1059	1048.46	1198	1198
1058.5	1048.49	1264	1264
1058	1047.9	1247	1247
1057.5	1047.25	1174	1174
1057	1046.64	1271	1271
1056.5	1046.08	1156	1156
1056	1045.49	1163	1163
1055.5	1045.51	1285	1285
1055	1044.86	1214	1214
1054.5	1044.25	1243	1243
1054	1043.68	1170	1170
1053.5	1043.11	1250	1250
1053	1043.09	1188	1188
1052.5	1042.49	1189	1189
1052	1041.84	1203	1203
1051.5	1041.26	1328	1328
1051	1040.72	1243	1243
1050.5	1040.07	1176	1176
1050	1040.05	1132	1132
1049.5	1039.45	1246	1246
1049	1038.86	1323	1323
1048.5	1038.27	1223	1223
1048	1037.66	1247	1247
1047.5	1037.65	1226	1226
1047	1037.02	1183	1183
1046.5	1036.45	1129	1129
1046	1035.87	1204	1204
1045.5	1035.23	1214	1214
1045	1034.63	1217	1217
1044.5	1034.63	1238	1238
1044	1034.03	1245	1245
1043.5	1033.47	1222	1222
1043	1032.85	1228	1228
1042.5	1032.19	1260	1260
1042	1032.21	1228	1228
1041.5	1031.61	1188	1188
1041	1030.98	1221	1221
1040.5	1030.39	1316	1316
1040	1029.75	1227	1227
1039.5	1029.15	1342	1342
1039	1029.15	1198	1198
1038.5	1028.58	1233	1233
1038	1027.94	1159	1159
1037.5	1027.31	1214	1214
1037	1026.74	1203	1203
1036.5	1026.71	1166	1166
1036	1026.13	1271	1271
1035.5	1025.53	1246	1246
1035	1024.88	1188	1188
1034.5	1024.28	1232	1232
1034	1023.7	1228	1228
1033.5	1023.69	1248	1248
1033	1023.07	1250	1250
1032.5	1022.46	1172	1172
1032	1021.85	1159	1159
1031.5	1021.26	1182	1182
1031	1021.29	1206	1206
1030.5	1020.68	1265	1265
1030	1020.03	1210	1210
1029.5	1019.43	1175	1175
1029	1018.87	1184	1184
1028.5	1018.24	1237	1237
1028	1018.27	1232	1232
1027.5	1017.6	1245	1245
1027	1016.99	1323	1323
1026.5	1016.43	1199	1199
1026	1015.8	1237	1237
1025.5	1015.17	1237	1237
1025	1015.21	1179	1179
1024.5	1014.56	1272	1272
1024	1013.99	1204	1204
1023.5	1013.4	1290	1290
1023	1012.75	1272	1272
1022.5	1012.75	1321	1321
1022	1012.1	1262	1262
1021.5	1011.52	1298	1298
1021	1010.91	1230	1230
1020.5	1010.26	1241	1241
1020	1009.66	1276	1276
1019.5	1009.65	1279	1279
1019	1009.09	1293	1293
1018.5	1008.49	1247	1247
1018	1007.83	1287	1287
1017.5	1007.27	1152	1152
1017	1007.25	1306	1306
1016.5	1006.7	1262	1262
1016	1006.12	1297	1297
1015.5	1005.45	1219	1219
1015	1004.85	1283	1283
1014.5	1004.33	1276	1276
1014	1004.28	1238	1238
1013.5	1003.71	1242	1242
1013	1003.06	1285	1285
1012.5	1002.44	1341	1341
1012	1001.89	1204	1204
1011.5	1001.9	1243	1243
1011	1001.31	1313	1313
1010.5	1000.65	1370	1370
1010	1000.05	1225	1225
1009.5	999.49	1258	1258
1009	998.89	1348	1348
1008.5	998.91	1281	1281
1008	998.23	1288	1288
1007.5	997.65	1285	1285
1007	997.06	1244	1244
1006.5	996.46	1268	1268
1006	996.46	1270	1270
1005.5	995.87	1234	1234
1005	995.23	1237	1237
1004.5	994.65	1259	1259
1004	994.08	1181	1181
1003.5	993.42	1272	1272
1003	993.45	1307	1307
1002.5	992.83	1252	1252
1002	992.26	1229	1229
1001.5	991.64	1324	1324
1001	991.01	1328	1328
1000.5	991	1286	1286
1000	990.39	1325	1325
999.5	989.84	1233	1233
999	989.21	1290	1290
998.5	988.61	1299	1299
998	988.01	1276	1276
997.5	987.98	1341	1341
997	987.4	1249	1249
996.5	986.84	1221	1221
996	986.21	1333	1333
995.5	985.59	1372	1372
995	985.6	1294	1294
994.5	985.01	1387	1387
994	984.43	1266	1266
993.5	983.8	1322	1322
993	983.18	1305	1305
992.5	982.6	1298	1298
992	982.63	1272	1272
991.5	982.02	1263	1263
991	981.39	1277	1277
990.5	980.8	1248	1248
990	980.19	1268	1268
989.5	980.18	1302	1302
989	979.61	1361	1361
988.5	978.95	1350	1350
988	978.34	1275	1275
987.5	977.78	1278	1278
987	977.19	1339	1339
986.5	977.19	1349	1349
986	976.6	1377	1377
985.5	975.97	1317	1317
985	975.36	1334	1334
984.5	974.8	1305	1305
984	974.79	1390	1390
983.5	974.16	1295	1295
983	973.55	1431	1431
982.5	972.94	1308	1308
982	972.34	1389	1389
981.5	971.75	1342	1342
981	971.73	1315	1315
980.5	971.09	1269	1269
980	970.53	1364	1364
979.5	969.97	1413	1413
979	969.32	1367	1367
978.5	968.7	1731	1731
978	968.71	1643	1643
977.5	968.1	1780	1780
977	967.54	1671	1671
976.5	966.95	1536	1536
976	966.29	1443	1443
975.5	966.32	1480	1480
975	965.71	1393	1393
974.5	965.16	1326	1326
974	964.56	1372	1372
973.5	963.92	1400	1400
973	963.32	1339	1339
972.5	963.31	1256	1256
972	962.76	1436	1436
971.5	962.12	1353	1353
971	961.49	1381	1381
970.5	960.91	1321	1321
970	960.89	1360	1360
969.5	960.35	1350	1350
969	959.73	1334	1334
968.5	959.07	1346	1346
968	958.5	1392	1392
967.5	957.92	1361	1361
967	957.89	1390	1390
966.5	957.33	1427	1427
966	956.71	1351	1351
965.5	956.07	1400	1400
965	955.51	1369	1369
964.5	955.52	1259	1259
964	954.91	1423	1423
963.5	954.25	1358	1358
963	953.69	1197	1197
962.5	953.07	1289	1289
962	952.44	1325	1325
961.5	952.48	1293	1293
